emojis,categories,category_rating,category_count,baseline_rating,total_count,rating_shift
🎬,Drama,4.869565217391305,23,4.817460317460317,126,0.052104899930987436
👌,Action,4.837209302325581,43,4.86013986013986,286,-0.022930557814278885
👌,Comedy,4.942857142857143,35,4.86013986013986,286,0.08271728271728307
👌,Drama,4.88,50,4.86013986013986,286,0.019860139860139903
👌,Horror,4.666666666666667,24,4.86013986013986,286,-0.19347319347319303
👌,Sci-Fi,4.703703703703703,27,4.86013986013986,286,-0.15643615643615671
👌,Thriller,4.555555555555555,27,4.86013986013986,286,-0.30458430458430463
👍,Action,4.900990099009901,303,4.858793969849247,1990,0.042196129160654294
👍,Adventure,4.742857142857143,35,4.858793969849247,1990,-0.11593682699210373
👍,Animation,4.9411764705882355,34,4.858793969849247,1990,0.0823825007389889
👍,Comedy,4.8559322033898304,236,4.858793969849247,1990,-0.0028617664594161596
👍,Drama,4.832835820895522,335,4.858793969849247,1990,-0.02595814895372417
👍,Family,4.898305084745763,59,4.858793969849247,1990,0.039511114896516375
👍,Fantasy,4.891891891891892,37,4.858793969849247,1990,0.0330979220426455
👍,Horror,4.7682926829268295,164,4.858793969849247,1990,-0.0905012869224171
👍,Romance,5.0,22,4.858793969849247,1990,0.1412060301507534
👍,Sci-Fi,4.775700934579439,107,4.858793969849247,1990,-0.08309303526980738
👍,Thriller,4.769230769230769,156,4.858793969849247,1990,-0.08956320061847745
👍,Western,4.857142857142857,21,4.858793969849247,1990,-0.0016511127063898456
👍🏻,Action,4.7073170731707314,41,4.865248226950355,282,-0.1579311537796233
👍🏻,Comedy,4.785714285714286,42,4.865248226950355,282,-0.07953394123606916
👍🏻,Drama,4.911111111111111,45,4.865248226950355,282,0.04586288416075668
👍🏻,Horror,4.95,20,4.865248226950355,282,0.08475177304964543
👍🏻,Thriller,4.8,25,4.865248226950355,282,-0.06524822695035493
👍🏼,Action,4.88,25,4.814285714285714,210,0.06571428571428584
👍🏼,Comedy,4.838709677419355,31,4.814285714285714,210,0.024423963133640925
👍🏼,Drama,4.755102040816326,49,4.814285714285714,210,-0.0591836734693878
👍🏼,Thriller,4.8,20,4.814285714285714,210,-0.014285714285714235
